name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Thawed Basa Fillets,https://www.coles.com.au/product/coles-deli-thawed-basa-fillets-approx.-200g-each-9398755,https://productimages.coles.com.au/productimages/9/9398755.jpg,1.8,0.2,9,100,313.02,15.9,1.2,0.66,0.01,,
Green Olives with Chilli Garlic,https://www.coles.com.au/product/coles-deli-green-olives-with-chilli-garlic-approx.-100g-3067824,https://productimages.coles.com.au/productimages/3/3067824.jpg,1.98,0.1,19.8,0.04,768.2,1,18.9,2.3,1.5,,757
Hot Twiggy Sticks,https://www.coles.com.au/product/hans-hot-twiggy-sticks-approx.-100g-2072997,https://productimages.coles.com.au/productimages/2/2072997.jpg,2.35,0.1,23.5
Mild Twiggy Sticks,https://www.coles.com.au/product/hans-mild-twiggy-sticks-approx.-100g-2076615,https://productimages.coles.com.au/productimages/2/2076615.jpg,2.35,0.1,23.5
Australian Made Champagne Ham,https://www.coles.com.au/product/coles-australian-made-champagne-ham-approx.-125g-5051494,https://productimages.coles.com.au/productimages/5/5051494.jpg,2.38,0.125,19,0.05,363.1,13.9,1.6,0.6,2.8,0.6,919
Deli Melosi Leg Ham,https://www.coles.com.au/product/don-deli-melosi-leg-ham-approx.-100g-9358230,https://productimages.coles.com.au/productimages/9/9358230.jpg,2.5,0.1,25
Lemon Pepper Roast Chicken,https://www.coles.com.au/product/lilydale-lemon-pepper-roast-chicken-approx.-100g-4651394,https://productimages.coles.com.au/productimages/4/4651394.jpg,2.6,0.1,26
Pepperoni Salami,https://www.coles.com.au/product/don-pepperoni-salami-approx.-100g-5515813,https://productimages.coles.com.au/productimages/5/5515813.jpg,2.8,0.1,28
RSPCA Approved Chicken Breast Fillets,https://www.coles.com.au/product/coles-deli-rspca-approved-chicken-breast-fillets-approx.-300g-each-2271199,https://productimages.coles.com.au/productimages/2/2271199.jpg,3,0.3,10,0.1,424.7,21.7,0.9,0.9,0.9,,41
Italian Style Salami,https://www.coles.com.au/product/coles-italian-style-salami-approx.-100g-3174880,https://productimages.coles.com.au/productimages/3/3174880.jpg,3,0.1,30,0.05,1662.4,23.1,33.2,12.5,2.1,,1530
Mild Chorizo Salami,https://www.coles.com.au/product/coles-mild-chorizo-salami-approx.-100g-3174904,https://productimages.coles.com.au/productimages/3/3174904.jpg,3,0.1,30,0.05,2002.9,24.4,40.6,16.2,4.3,,1450
Danish Salami,https://www.coles.com.au/product/primo-danish-salami-approx.-100g-5079755,https://productimages.coles.com.au/productimages/5/5079755.jpg,3.1,0.1,31,0.1,1780,19.4,38.9,13.7,1,1,1300
Short Cut Bacon,https://www.coles.com.au/product/primo-short-cut-bacon-approx.-250g-4304277,https://productimages.coles.com.au/productimages/4/4304277.jpg,4,0.25,16,0.05,635,16.3,9.2,3.4,1,1,1080
Thawed Cooked Vannamei Prawns,https://www.coles.com.au/product/coles-deli-thawed-cooked-vannamei-prawns-approx.-250g-4273050,https://productimages.coles.com.au/productimages/4/4273050.jpg,4.5,0.25,18,0.1,395.47,21.5,,,,,579
Thawed Squid Tubes,https://www.coles.com.au/product/coles-deli-thawed-squid-tubes-approx.-250g-5936593,https://productimages.coles.com.au/productimages/5/5936593.jpg,4.5,0.25,18
Fresh Tasmanian Salmon Portions Skin On,https://www.coles.com.au/product/coles-deli-fresh-tasmanian-salmon-portions-skin-on-approx.-200g-8106800,https://productimages.coles.com.au/productimages/8/8106800.jpg,5.8,0.2,29
Thawed Barramundi Fillets,https://www.coles.com.au/product/coles-deli-thawed-barramundi-fillets-approx.-350g-9586449,https://productimages.coles.com.au/productimages/9/9586449.jpg,5.95,0.35,17
Thawed Australian Msc Raw King Prawns,https://www.coles.com.au/product/coles-deli-thawed-australian-msc-raw-king-prawns-approx.-250g-3845180,https://productimages.coles.com.au/productimages/3/3845180.jpg,6.12,0.25,24.5,0.1,320,17.3,0.7,0.2,,,408
Fresh West Australian Barramundi Portions Skin On,https://www.coles.com.au/product/coles-deli-fresh-west-australian-barramundi-portions-skin-on-approx.-200g-1067914,https://productimages.coles.com.au/productimages/1/1067914.jpg,6.5,0.2,32.5,220,403.1,21.1,1.2,0.4,0.5,0.5,85
Thawed Raw Black Tiger Prawns,https://www.coles.com.au/product/coles-deli-thawed-raw-black-tiger-prawns-approx.-250g-3954674,https://productimages.coles.com.au/productimages/3/3954674.jpg,6.5,0.25,26,0.1,444.78,23.7,0.9,0.3,0.5,,249
Rspca Approved Chicken Wings,https://www.coles.com.au/product/coles-deli-rspca-approved-chicken-wings-approx.-120g-each-2272715,https://productimages.coles.com.au/productimages/2/2272715.jpg,0.84,0.12,7,1200,917.5,16.1,17.4,5.3,,,56
Thawed Australian Cooked Black Tiger Prawns Large,https://www.coles.com.au/product/coles-deli-thawed-australian-cooked-black-tiger-prawns-large-approx.-250g-9672959,https://productimages.coles.com.au/productimages/9/9672959.jpg,7,0.25,28,0.1,464.3,24.2,,,0.5,0.5,580
Thawed Peeled Garlic Prawns,https://www.coles.com.au/product/coles-deli-thawed-peeled-garlic-prawns-approx.-250g-3165594,https://productimages.coles.com.au/productimages/3/3165594.jpg,7.25,0.25,29,100,,,,,,,
Frankfurt Cocktail,https://www.coles.com.au/product/primo-frankfurt-cocktail-1kg-2140860,https://productimages.coles.com.au/productimages/2/2140860.jpg,7.4,1,7.4
Thin Frankfurt,https://www.coles.com.au/product/primo-thin-frankfurt-1kg-2140871,https://productimages.coles.com.au/productimages/2/2140871.jpg,7.4,1,7.4,1,733,12.7,12,4.2,3.9,1,1040
Cocktail Frankfurts,https://www.coles.com.au/product/primo-cocktail-frankfurts-1-kg-4509983,https://productimages.coles.com.au/productimages/4/4509983.jpg,7.4,1,7.4,63,765,12.5,12.4,4.5,5.2,1,1140
Thin Frankfurts,https://www.coles.com.au/product/primo-thin-frankfurts-1-kg-4510009,https://productimages.coles.com.au/productimages/4/4510009.jpg,7.4,1,7.4,0.062,738,12.1,12.1,4.1,5,0.8,1160
RSPCA Approved Chicken Nibbles Chilli Sriracha,https://www.coles.com.au/product/coles-deli-rspca-approved-chicken-nibbles-chilli-sriracha-approx.-500g-each-3048182,https://productimages.coles.com.au/productimages/3/3048182.jpg,4.5,0.5,9,0.15,650,,,,,,
Deli Cocktail Frankfurts,https://www.coles.com.au/product/primo-deli-cocktail-frankfurts-approx.-50g-each-499618,https://productimages.coles.com.au/productimages/4/499618.jpg,0.45,0.05,9,0.064,738,12.1,12.1,4.1,5,1,1160
Thin Frankfurts,https://www.coles.com.au/product/primo-thin-frankfurts-approx.-100g-7312850,https://productimages.coles.com.au/productimages/7/7312850.jpg,0.9,0.1,9,0.065,738,12.1,12.1,4.1,5,1,1160
RSPCA Approved Chicken Nibbles Honey Soy,https://www.coles.com.au/product/coles-deli-rspca-approved-chicken-nibbles-honey-soy-approx.-70g-7428265,https://productimages.coles.com.au/productimages/7/7428265.jpg,0.63,0.07,9,0.125,856,16.3,12.31,4.2,3.2,,318
